序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
50,02養分,1養分,養分檢驗,,,,,,,小美買了一盒真珠粉，懷疑裡面可能摻了澱粉，她可利用下列何種試劑檢測？,,,碘液,本氏液,亞甲藍液,氯化亞鈷溶液,,,,,091基本學測一,A
65,02養分,1養分,熱量計算,,,,,,,鏘鏘公司生產的優酪乳包裝上標示如圖所示，理論上這瓶優酪乳可提供多少熱量？,m0063,,84大卡,89大卡,168大卡,178大卡,,,,,091基本學測一,D
103,03運輸,2循環系統,血液循環路徑,心臟的血液供應,,,,,,直接供給人類心臟所需氧氣及養分的血管若阻塞，會造成心臟的病變，下列何者為此重要血管？,,,肺動脈,冠狀動脈,上大靜脈,左肺靜脈,,,,,091基本學測一,B
112,03運輸,1植物的運輸,維管束,年輪,,,,,,下列有關年輪的敘述，何者正確？,,,可根據年輪來判斷玉米的年齡,韌皮部細胞受氣候影響而形成年輪,環紋的部分是木質部，俗稱為木材,環紋有深有淺是因形成層細胞大小不一,,,,,091基本學測一,C
211,03運輸,2循環系統,血液,血球的功能,,,,,,運動時心搏加快，在生理上有何意義？,,,加速氧氣的運輸,增加二氧化碳的含量,減少體熱的散失,增加尿液的形成,,,,,091基本學測一,A
216,05恆定,2氣體恆定,呼吸作用,呼吸作用的實驗裝置,,,,,,小文利用已萌芽的綠豆進行實驗，裝置如下圖。若干小時後由漏斗倒入一杯清水，同時觀察石灰水的變化。下列何者是實驗中倒入清水的目的？,m0202,,清洗錐形瓶,將瓶內的氣體擠入試管中,促使綠豆生長並快速產生,促使綠豆生長並快速產生,,,,,091基本學測一,B
258,06生殖,1細胞分裂與減數分裂,體細胞和生殖細胞的染色體判斷,,,,,,,下圖是母雞所生未受精的蛋。若母雞皮膚細胞的細胞核中，含有a條染色體，則圖中箭頭處所指的小白點應含有幾條染色體？,m0221,,2a,a,a/2,a/4,,,,,091基本學測一,C
296,06生殖,2無性生殖,遺傳差異,,,,,,,下圖為一種常見的植物，若由葉緣的缺刻可長出甲、乙兩株新的植物體，則甲、乙兩株的細胞中所含的遺傳基因約有多少比例是相同的？,m0226,,1,0.75,0.5,0.25,,,,,091基本學測一,A
302,07遺傳,3突變,遺傳疾病,遺傳疾病發生原因,,,,,,阿漢患有白化症(皮膚缺少黑色素)，但他的父母膚色都正常，下列相關敘述何者正確？,,,白化症基因是顯性基因,阿漢只有一個白化症基因,阿漢父母雙方皆有白化症基因,阿漢父母僅有一方有白化症基因,,,,,091基本學測一,C
312,07遺傳,1遺傳法則,計算與分析遺傳機率,,,,,,,大雄的父親能捲舌，其基因型為RR，母親不能捲舌，其基因型為rr，若大雄的太太宜靜也不能捲舌，則大雄夫婦所生的第一個子女能捲舌的機率為何？,,,1,3/4,1/2,1/4,,,,,091基本學測一,C
328,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,蝗蟲的體色是長期演化的結果，在草地上活動的蝗蟲大多為綠色，而在黃泥地上的蝗蟲大多為土黃色，形成此種現象最可能的原因為何？,,,變異後再經人擇,變異後再經天擇,天擇後再經變異,人擇後再經變異,,,,,091基本學測一,B
386,09分類,5動物界,動物界的特徵,,多種生物的比較,,,,,如圖所示，將六種生物分成兩類，下列何者為其分類的依據？,m0297,,脊椎骨的有無,體溫是否恆定,生殖方式的不同,受精方式的不同,,,,,091基本學測一,D
425,10生態,7環境,避免生態失衡的方法,,,,,,,森林裡的松鼠數量激增，危害樹木甚鉅，以下何種作法不符合生態保育的原則？,,,森林裡松鼠繁殖的數量再多都要加以保護,選擇適當的地點設置陷阱，減少松鼠的數量,適度開放狩獵活動，適量捕捉森林中的松鼠,適量的增加原棲息地松鼠的天敵，如貓頭鷹等,,,,,091基本學測一,A
3,01生命世界,3物質如何交換,物質交換的方式,,,,,,,生活在水中的腎形蟲、眼蟲等單細胞生物，藉由下列何種方式與外界進行物質的交換？,,,循環作用,分泌作用,擴散作用,蒸散作用,,,,,091基本學測二,C
17,01生命世界,4生物體的組成層次,器官層次-植物的器官,,,,,,,下列各圖為植物的某一部分，何者為該植物的營養器官？,,,蘋果 ,甘蔗,金針花,豌豆,m0046,m0047,m0048,m0049,091基本學測二,B
34,01生命世界,1顯微鏡,顯微鏡移動方向,,,,,,,下圖為小楓使用解剖顯微鏡觀察被麻醉的蜜蜂時，視野中所見的景象。小楓想將蜜蜂移至視野中央，應將蜜蜂往哪個方向移動？,m0027,,右上,右下,左上,左下,,,,,091基本學測二,A
49,02養分,1養分,熱量計算,,,,,,,下表列出四種食物的成分含量，各成分的含量與「＋」的數目成正比。由此表比較同樣單位的食物，何者所能提供的熱量最少？,m0069,,甲,乙,丙,丁,,,,,091基本學測二,B
57,02養分,4消化系統,消化器官的位置,,,,,,,阿貴患了膽道閉鎖症，無法順利排出膽汁，因而造成膽汁逆流，此現象將會直接導致圖中哪一種器官受損？,m0110,,胃,肝臟,胰臟,小腸,,,,,091基本學測二,B
111,03運輸,2循環系統,血液,血球的功能,,,,,,興聞被刀子割傷，數日後傷口因感染而紅腫發炎，此時他體內的哪一種細胞會顯著增加？,,,白血球,紅血球,肌肉細胞,神經細胞,,,,,091基本學測二,A
127,03運輸,1植物的運輸,蒸散作用,,,,,,,筱欣在甲、乙兩個相同的量筒內各插入一枝粗細相近的芹菜，再加水至液面達到L的刻度處，接著摘除乙量筒芹菜的所有葉片，並把兩個量筒放在通風處，每10分鐘記錄一次液面的讀數，結果如下表。筱欣的實驗結果可支持下列哪一敘述？,m0124,,植物的生長需要通風,植物行光合作用需要光,植物行呼吸作用時需要水分,植物體內水分的散失與葉片有關,,,,,091基本學測二,D
159,03運輸,1植物的運輸,維管束,維管束綜合性問題,,,,,,根據下列事實的陳述，最可能作出何項判斷？事實一：血液流經微血管時，會有部分液體滲出至組織間。事實二：從心臟送至體循環、肺循環的血液量和回流至心臟的血液量相等,,,人體可回收由微血管滲出的液體,人體的每一器官所含的血量相同,血液在血管中流動的速率都相同,心臟送出的血液都含豐富的氧氣,,,,,091基本學測二,A
192,04協調,4植物感應,向性,判斷生長原因,,,,,,將紅豆放在玻璃管中，置於僅有唯一光源的暗室如下圖。經過一段時間，根的生長方向如圖中所示，下列有關實驗結果的推論，哪一項最合理？,m0179,,在玻璃管內發芽的紅豆，根只會沿水平方向生長,根表現向溼性，所以有水的情況下就沿水平方向生長,將豆子水平放進玻璃管，所以呈水平生長方向,根同時表現了向地性與背光性，因而沿水平方向生長,,,,,091基本學測二,D
252,09分類,4植物界,被子植物的特徵,,給特徵猜生物,,,,,下圖是一種常見植物的花，觀察圖示並判斷該植物具有下列何種特徵？,m0278,,具有平行的葉脈,具有一枚子葉的種子,花中同時含有雌蕊和雄蕊,花瓣的表皮細胞具有葉綠體,,,,,091基本學測二,C
267,06生殖,1細胞分裂與減數分裂,體細胞和生殖細胞的染色體判斷,,,,,,,已知果蠅的體細胞有4對染色體，則下列何者是其卵子中的染色體數？,,,4對染色體,2對染色體,4條不成對的染色體,2條不成對的染色體,,,,,091基本學測二,C
288,06生殖,3動物有性生殖,動物如何進行生殖,,,,,,,下列有關動物生殖的敘述，何者錯誤？,,,兩生類多為體外受精，卵生,爬蟲類多為體內受精，卵生,鳥類均為體內受精，卵生,魚類均為體外受精，卵生,,,,,091基本學測二,D
362,09分類,5動物界,哺乳類的特徵,,給生物列特徵,,,,,瓦拉將生物依其不同的特性分類如下表，豬在下列檢索表中應置於哪一位置？,m0290,,甲,乙,丙,丁,,,,,091基本學測二,D
380,09分類,4植物界,被子植物的特徵,水筆仔的特徵,給生物列特徵,,,,,下列有關水筆仔的敘述，何者正確？,,,種子先在母樹上發芽，然後落在泥土中生長,果實隨海水漂流，被沖到岸上才能發芽生長,種子要落在鹽分高的海水中，才能發芽生長,不會開花結果，需要靠人類為它們插枝繁殖,,,,,091基本學測二,A
412,10生態,4物質的循環,捕蟲植物獲得氮的方式,,,,,,,豬籠草和毛氈苔等捕蟲植物常長於土壤貧瘠的環境中，主要是藉由捕食昆蟲以獲得該地區缺乏的何種營養素？,,,碳,氮,鐵,鉀,,,,,091基本學測二,B
440,10生態,4物質的循環,物質如何循環,,,,,,,有關自然界中物質循環的觀念，下列敘述何者錯誤？,,,物質可在生物與非生物間循環,細菌在物質循環上可扮演分解者的角色,以生物屍體為食的物種，有助於物質循環,進入生物體的物質均可被生物所利用、分解及排除,,,,,091基本學測二,D
14,01生命世界,1顯微鏡,染劑功能,,,,,,,觀察動、植物細胞時，下列何者為滴加亞甲藍液的作用？,,,使細胞維持原狀,增加細胞的透光率,會與細胞中的澱粉作用,使細胞中的構造顏色深淺不同,,,,,092基本學測一,D
25,01生命世界,3物質如何交換,物質交換的方式,,,,,,,下列有關物質進出細胞的敘述，何者正確？,,,葡萄糖可自由進出細胞,水可藉擴散作用進出細胞,氧氣經分解後才可進入細胞,二氧化碳要藉細胞膜上特殊的蛋白質才能進出細胞膜,,,,,092基本學測一,B
128,03運輸,1植物的運輸,維管束,年輪,,,,,,下圖為松樹樹幹橫切面的模式圖，下列敘述何者正確？,m0129,,這段樹幹的年齡約有六年,甲區運送養分，乙區運送水分,甲區的細胞比乙區的小，生長也較快,乙區的細胞是在氣候溫暖、雨量豐富的季節生長,,,,,092基本學測一,D
131,03運輸,2循環系統,血液循環路徑,,,,,,,下圖為心臟及血管示意圖，下列敘述何者正確？,m0143,,心臟收縮，血液由丁→d，甲→a,心臟收縮，血液由甲→a，丙→c,心臟舒張，血液由a→甲，d→丁,心臟舒張，血液由c→丙，b→乙,,,,,092基本學測一,C
175,04協調,2內分泌系統,血糖調控,,,,,,,下圖是用餐前後血糖濃度的變化情形。胰島素在下列哪一個階段開始發生作用？,m0173,,甲,乙,丙,丁,,,,,092基本學測一,C
233,05恆定,3水分恆定,泌尿系統的功能,,,,,,,下圖是人體的泌尿系統，下列相關敘述何者正確？,m0210,,甲處可以形成尿素,乙處可以製造尿液,丙處將血液送回血管,丁處將尿液中的水分再吸收,,,,,092基本學測一,B
260,06生殖,1細胞分裂與減數分裂,染色體的位置,,,,,,,下圖為洋蔥根尖的組織切片。下列何者為箭頭所指的構造？,m0216,,葉綠體,染色體,細胞壁,細胞核,,,,,092基本學測一,B
292,07遺傳,3突變,遺傳疾病,遺傳疾病發生原因,,,,,,我國法律規定：「表兄妹不能結婚」。依生物知識判斷，下列何者為其目的？,,,避免造成不孕,避免親屬關係的混亂,減少基因發生突變的機率,減少遺傳性疾病發生的機會,,,,,092基本學測一,D
324,08演化,1天擇與人擇,天擇的過程,個體差異的現象,,,,,,下圖為某校高一新生身高分布情形，此圖可說明下列何種現象？,m0246,,群體中的個體有性狀差異,群體中有少數突變的個體,這是適應環境的結果,身高與男女性別有關,,,,,092基本學測一,A
396,09分類,1命名與分類,檢索表的使用,,,,,,,小茹根據下表所示之檢索表，可查出下圖昆蟲所屬的類別為下列何者？,m0273,,甲,乙,丙,丁,,,,,092基本學測一,B
420,10生態,1族群與群集,族群大小,,,,,,,國家公園解說員在導覽時，說：「前方水塘內有珍稀的水生植物—水韭的族群。」下列何者為族群的意義？,,,生長於同一時期、同一棲地的同種生物集合,生長於同一時期、同一棲地的所有生物集合,生長於同一時期、不同棲地的同種生物集合,生長於不同時期、同一棲地的所有生物集合,,,,,092基本學測一,A
421,10生態,6生物多樣性,推測生物多樣性高的棲地,,,,,,,下列棲地中，何者的生物種類可能最多？,,,河口沼澤地帶區,丘陵上的茶園內,平原上的稻田中,沿海虱目魚塭內,,,,,092基本學測一,A
569,02養分,3光合作用,光合作用的過程,,,g1106,,,,自然界的碳元素在大氣、陸地、海洋和生物之間不停的循環，其主要的途徑如下圖。請回答下面的問題：C6H12O6＋6O2→6CO2＋6H2O可用來表示下圖中哪一途徑的化學反應？,m0098,,途徑甲,途徑乙,途徑丙,途徑丁,,,,,092基本學測一,B
570,02養分,3光合作用,光合作用的過程,,,g1106,,,,自然界的碳元素在大氣、陸地、海洋和生物之間不停的循環，其主要的途徑如下圖。請回答下面的問題：根據圖，下列何種化學反應可消耗大氣中的二氧化碳？,m0099,,燃燒化石燃料,植物的光合作用,動物的呼吸作用,細菌分解有機物,,,,,092基本學測一,B
1,01生命世界,2動植物細胞的比較,細胞間的比較,,,,,,,不同組織中的細胞形狀不同，功能也不同。在人體中，下列箭頭所指的細胞何者最可能具有快速傳遞訊息的功能？,,,,,,,m0030,m0031,m0032,m0033,092基本學測二,B
60,02養分,3光合作用,光合作用的過程,,,,,,,在光合作用的過程中，來自太陽的能量會儲存在下列何種分子上？,,,水,氧氣,葡萄糖,二氧化碳,,,,,092基本學測二,C
84,02養分,2酵素,酵素的活性,,圖表判讀,,,,,下圖為一種酵素反應速率與溫度關係之示意圖，此酵素為某種生物生存所必須。這種生物最可能生存於下列何處？,m0086,,溫帶草原,熱帶河流,高溫溫泉,河口沼澤,,,,,092基本學測二,C
